	aucodds	aucodds_permuted	aucodds_scalefree	aucodds_sticky	goldstandard	runningtime	settingid
0	0.001193548570875136	0.018247862062484712	0.03949887670091944	0.029522884822074495	regcircuit	0.002426624298095703	28
1	0.0005698450715632846	0.007593775416340733	0.01579552559841575	0.014565274612945595	regcircuit	0.0056421756744384766	24
2	0.0009742090960365071	0.014894436337398021	0.03224013324991515	0.024097438207993975	regcircuit	0.0018444061279296875	29
3	0.002470292848299721	0.03291920916525373	0.0684740043707972	0.06314083512413979	regcircuit	0.015473365783691406	25
4	0.0032616064764964935	0.0498658760418735	0.10793845781038845	0.08067709575483364	regcircuit	0.002006053924560547	30
5	0.0009721007096335181	0.01348510202824332	0.03020767500795458	0.02446080600824053	regcircuit	0.0031719207763671875	32
6	0.002603353118817036	0.03469237499851096	0.07216229968819377	0.06654186371396464	regcircuit	0.004987955093383789	26
7	0.0033033658463211732	0.04402076916477725	0.09156594027101922	0.08443423151260848	regcircuit	0.004721403121948242	27
8	0.003212350981379853	0.04456213261151315	0.09982263513992264	0.08083184530904938	regcircuit	0.0031518936157226562	33
9	0.0032918864939862308	0.04566545914109668	0.10229417218602799	0.08283318398245086	regcircuit	0.0036661624908447266	34
10	0.003910496036480289	0.054246887704524266	0.12151723810018093	0.09839915144224032	regcircuit	0.003212451934814453	35
11	0.0037942880582474492	0.05800990994565546	0.12556683476282743	0.09385318038902918	regcircuit	0.0021278858184814453	31
